FarmNm_CH,FarmNm_EN,FarmNm_JP,Feature_CH,Feature_EN,Feature_JP,CertifySDate,CertifyEDate,TEL,FAX,PCode,County,Township,Address_CH,Address_EN,Address_JP,WebURL,Longitude,Latitude,IdentifyItem,Photo
鄉村休閒農場,,,鄉村休閒農場。位於內湖區五指山腰上的鄉村休閒農場，於95年經行政院農委會核准，成為台北市第3家、占地最廣的合法休閒農場，近1公頃的農場面積，讓園區內可提供豐富的各式體驗活動。。農場內一年四季皆有「看頭」，春天可賞櫻，看梅、李、桃花爭豔、火紅的山茶花怒放。夏季在高大的柚子樹下烤肉；入秋後可見香柚的蹤影，而進入冬季，園區內的柑橘則結實累累，不同時令農場還提供遊客摘採各式健康沒噴農藥的蔬菜。為了達到寓教於樂的目的，配合團體的年齡與人數，農場提供各式DIY、及採果、拔蘿蔔等農耕體驗活動，讓大人小孩都...,,,1150901,1150930,(02)82602358,,114,63000,內湖區,大湖街206號,,,,121.609038,25.103160,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25282/480x360_agrispots-image-rtbm9wttmu2loat3wpk9sa.jpg
水岸森林休閒農場,,,水岸森林休閒農場。「水岸森林」。位於宜蘭縣冬山鄉柯林村，柯林地區多屬伏流湧泉區域，水源豐沛、生態林立，早期柯林地區魚業養殖及畜牧業都相當發達也因此奠定本區休閒農業發展的根基。。「柯林湧泉」。是大地賜予的珍貴滋養資源，漫步於這塊美麗又乾淨的土地，疲累的身軀需要片刻的休息才有再出發的體力，躺在河岸旁欣賞瞬息萬變的雲朵，讓微風舒服的親吻每一吋肌膚，眺望大自然水與光的交織幻化，一隻隻飛越阡陌的白鷺鷥，像極光明的羽翼輕輕畫過綠色的藩籬，開啟一天美好的新頁，寫下您的旅人日記...。【如欲安排前往建...,,,1150901,1150930,(03)9610277,,269,10002,冬山鄉,柯林村柯林新路90號,,,https://www.river-forest.com.tw/,121.731884,24.683784,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25371/480x360_agrispots-image-ffefjnqcc0cntpoqvvac-g.jpg
山水居休閒農場,,,座落於台3線137.4k處，「山水居休閒農場」是一處隱於大湖佛陀山入口處的桃源聖地。這裡地處山凹，坐擁遼闊視野與天然山泉池，展現出群山環繞的靜謐之美。農場主建築巧妙運用岩石、木材與紅磚，將粗獷質樸的設計感揉入自然地景中，營造出與山林一體的沉穩氛圍，讓人一抵達便能感受到遠離塵囂的悠然。。作為苗栗大湖代表性的景觀餐廳與包棟民宿，山水居不僅提供道地的客家料理與獨具特色的創意水果餐，更是旅人品茗咖啡、享受森林浴的絕佳去處。園區內隨著四季更迭，生長著草莓、紅肉李、甜橙與高接梨，旅人能在此親身體驗現採鮮果...,,,1150901,1150930,(037)951513,(037)951778,364,10005,大湖鄉,栗林村內雙坑13鄰5-3號,,,,120.832068,24.378284,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25458/480x360_agrispots-image-u_pvjqcz-ew_d8mfiy0dow.jpg
鹽讚休閒農場,,,,,,1150901,1150930,(05)5899890,,643,10009,林內鄉,烏塗村鹽讚42號之6號,,,,120.588491,23.764255,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
見望村親子休閒農場,,,見望村親子休閒農場為政府立案合法的休閒農場(合法編號：495)。位於宜蘭縣大同鄉，海拔約600米，農場面積約6000坪，見望村內3000坪的大草地可供露營，。並提供小朋友最喜愛的：。戲水區，滑草區，溜滑梯&hellip；等設施。。見望村擁有360度的環景：龜山島海景，三星平原，寒溪部落，宜蘭市景&hellip；，盡在眼前。。帶著家人來村裡呼吸清新空氣，享受大山壯闊的景色，讓您不再想起都市生活的煩憂。。Mapawan to kita !!。望見美景~。就把煩惱都忘了吧!。見望村的...,,,1150901,1150930,(09),,267,10002,大同鄉,寒溪村華興巷48之1號,,,,121.674025,24.636644,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1748/480x360_t50zmqqpgdkin7gnxq99tg8sy37q1h4h.jpeg
稻庄休閒農場,,,起源：。農場主一家世代務農，以種植水稻為主要的經濟來源，希望讓更多人能夠了解農作物與他們的產地所建造的農場。。發展:。透過親子互動，多肉植物手作及療育動物戶動的方式，提供遊客一個可以好好放鬆的場域，我們希望消費者可以來到農產品的產地看看這裡的環境呼吸新鮮空氣享受這裡的一切。。門票費用: 全票250元、優待票 100元(優待票65歲以上年長者、持有身心障礙手冊及必要陪同人一名)、免票為0-4歲兒童。。入場方式現場排隊每日開放入場。。營業時間為10:00~17:00 最後售票時間為16:...,,,1150901,1150930,(03)9892809,,266,10002,三星鄉,人和村福和路71巷16號,,,,121.631162,24.673867,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
小木屋休閒農場,,,緣起。緣起。茶農子弟因緣際會將稻田改作，以生態工法復育生態魚、溼地植物，構築出「小木屋」，在大哥一步步施工設計後，擁有完整的休閒娛樂與教育價值，美化了視覺、生活與身心靈等豐富層面，宛若林間自然教室，營運後立即受到各地人士矚目。小木屋原本是茶園家族親人休憩的聚集地，因主人愛好交友的性格使然，漸漸地「小木屋」成了朋友相聚的代名詞。小木屋以高架法建築，大量採用回收木材，避免對環境造成傷害；而山泉水貫穿其下，木屋後的荷花池佈滿綠意昂然的浮萍，園圃內利用木材自行發酵，堆製有機肥，提供參觀。。從傳統農...,,,1150901,1150930,(09),,338,68000,蘆竹區,坑子村貓尾崎12鄰1-6號,,,https://ezgo.ardswc.gov.tw/zh-TW/Front/Agri/Detail/1365,121.344692,25.081659,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/680/480x360_20200323-01.jpg
翩翩泰安休閒農場,,,,,,1150901,1150930,(037)941099,,365,10005,泰安鄉,錦水村圓墩86之6號,,,https://www.ppta.com.tw/,120.93575,24.47009,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
張媽媽休閒農場(停業中),,,大樹張媽媽休閒農場位於大樹佛光山下，台21線旁，農場主人為張坤先生與太太羅玉梅女士，但因園區開放時都是張媽媽在招呼客人，所以大家以張媽媽相稱，所以農場才命名為張媽媽休閒農場。。夫婦倆熟知桑葚的好處，因此利用大樹區的好山好水，種植兩分地的桑葚及超過兩公頃的玉荷包。每年3-5月桑葚產期，皆對外開放採收，且園內種植的桑葚都是不噴灑農藥，每年會經過高雄農業改良場抽驗及SGS檢驗合格，無農藥殘留，可以安心食用。。因桑葚及玉荷包都是季節性產品，為因應產期產量過剩及解決非產期的農閒階段，同時也為了增加產品...,,,1150901,1150930,(07)6563635,,840,64000,大樹區,興田路116-1號,,,https://www.mama-chang.com/,120.448126,22.747174,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/3973/480x360_6607f2f7ac434c72b4cee599304cb1b8.jpg
想想山休閒農場,,,,,,1150901,1150930,(09),,305,10004,新埔鎮,北平里10鄰大平窩89之7號,,,,121.085086,24.847149,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
沐涵軒休閒農場,,,沐涵軒休閒農場。隱身在林蔭中的沐涵軒休閒農場，不時可以聽到蟲鳴鳥叫，感受芬多精的薰陶讓身心靈全面放鬆。到沐涵軒休閒農場可以品嚐香濃道地的高樹咖啡，對給遊客最私密的個人空間。,,,1150901,1150930,(08)7967902,,906,10013,高樹鄉,舊寮村10鄰萬興路39號,,,,120.631072,22.848369,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/696/480x360_763500c1d54d4726b7bef7ee1e3369c1.jpg
詹園品田生態休閒農場,,,,,,1150901,1150930,,,558,10008,鹿谷鄉,瑞田村仁愛路23-8號,,,,120.810213,23.811251,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
苗栗縣三義鄉新光樂活休閒農場,,,,,,1150901,1150930,(02)25096155,(02)25096165,367,10005,三義鄉,西湖村八櫃8-8號,,,,120.769916,24.376398,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
星星休閒農場(停業中),,,以五葉松及桂花為主的農業生產。視野極佳可以遠眺台中港。本場目前設備不齊全,,,1150901,1150930,(09),,423,66000,東勢區,東勢段石角小段1981、1981-24地號等二筆,,,,120.756966,24.242220,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1251/480x360_6t9xqyjsus4x0jp8j3wch4ucsy4sbcks.jpg
悠然休閒農場,,,悠然休閒農場。「悠然休閒農場」四周環境清幽，有高山、有清澈山泉水，此地開墾於民國76年現任局長吳輝龍看中此地，認為此地是全台灣省最佳之處，配合水保局規劃做水土保持戶外教室，代表中華民國，給全世界水土保持協會專家參觀，之後成立了這座中華民國第一所戶外教室，上課對象主要有幼稚園學生到大學學生都有，若有想要來此上課，可聯絡行政院農業委員會、中華水土保持學會、國立台灣大學、水土保持司第二工程所或國立中興大學。。園區面積3.7公頃，園內種植大梨、柑橘等水果，可讓民眾自行採果，園內有美化果園、果園植草綠...,,,1150901,1150930,(09),,364,10005,大湖鄉,栗林村6鄰四份17-2號,,,,120.849760,24.380795,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/156/480x360_20151119144045.jpg
森十八休閒農場,,,「誠如土地；誠如自己」我們以此信念聆聽土地生息，望向山水的寧靜；聽見雨過天晴的最後一滴雨水，風中傳來這片土地上珍貴而超然的桉葉香氣，享受尤加利樹浪的點點環繞。。我們用自然農法陪伴四十年的桉樹林一起呼吸.生長，並以12年的芳療經驗結合心靈藝術，將植物深刻的自然療癒力應用於身心旅途課程及身心調理的精油產品中，連結人與自然平衡就是自我療癒的美好旅程。。六感森林療育劇場集結了各種人生課題的療癒心法，著重於心理啟發與藝術探索，包含森林療癒、積極想像引導、行為與圖騰意識探索、團體互動及故事分享，透過感官...,,,1150901,1150930,(049)2273797,(049)2273800,551,10008,名間鄉,田仔村田仔巷16-8號,,,,120.675194,23.864652,體驗,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/210/480x360_ftr6kc2un0mriy598ysipxwuudavws6x.jpg
大頭目知本溫泉休閒農場,,,,,,1150901,1150930,(089)511306,,954,10014,卑南鄉,溫泉村32鄰樂山169號,,,,121.018366,22.683817,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
杏花林休閒農場,,,杏花林休閒農場。每年2月來臨時，來到「杏花林休閒農場」一定會被滿山坡的杏花與櫻花相互爭豔的麗景吸引，時序進入3月，主角換成了香氣迷人的柚子花展露笑顏，但不變的是，原以栽種茶樹起家的「杏花林」，同樣準備好道地的木柵鐵觀音，讓民眾在賞花休憩時，也能悠然品茗。。占地約4.5公頃的「杏花林」是一個由四代同堂的張氏家族共同經營的農場，第一代主人張丁頂已高齡85歲，但民眾還是不時可以看到他為了照顧杏花，拿著鐮刀在陡峭的山坡上除草，是個「勇健銀髮族」。第二代農場負責人張智揚表示，「杏花林」原以栽重茶樹為主...,,,1150901,1150930,(02)29394866,,116,63000,文山區,老泉街45巷30號,,,,121.576574,24.968980,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/87/480x360_20160118143817.jpg
豚之林休閒農場,,,豚之林休閒農場將最健康的乳豬送到屏東合法屠宰場處理，讓大眾能普及享用到台灣本土最新鮮、健康、衛生，體驗及享受DIY烤出脆皮乳豬的樂趣，把舊豬舍改成植滿台灣特有種的植物，讓您來此能遠離塵囂，放鬆心情，自在享受悠閒時刻。。除了有DIY烤乳豬體驗以外，還有推出季節限定「樹葡萄的採果體驗」，農場具有豐富自然的生態，佔地千坪，園中植滿各種台灣原生樹種，讓您在呼吸清新空氣的同時，又可以認識台灣的特有樹木，增廣見聞。。(圖片取自：豚之林FB) 。體驗活動－現烤烤乳豬。※🔔貼心提醒：相關體驗活動以農場...,,,1150901,1150930,(08)8631272,,926,10013,南州鄉,壽元村大同路69-180號,,,,120.542014,22.484228,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25021/480x360_agrispots-image-j1-kdcw6meq1rnkt1bzzrw.jpg
大吾疆莊園休閒農場(皇家薇庭),,,本場利用現有農地資源規劃達到休閒與產業之結合，以農村文物體驗、自然保育及生態教育為目的，並提供國人優質之休閒活動空間，藉由創意再造與體驗深植化，增加農場的創新力。,,,1150901,1150930,(03)3029222,,330,68000,桃園區,莊敬路二段369號,,,,121.287625,25.018807,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/1307/480x360_20200325-25(2).jpg
小人國休閒農場(ARCADIA覓秘午憩),,,位於小人國入口處 奢野生活渡假莊園 覓祕˙午憩。五星好評推薦 遠離塵囂 悠遊慢活最佳景點,,,1150901,1150930,(03)4716123,,325,68000,龍潭區,高原路980號,,,,121.192854,24.829677,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
葵扇湖休閒農場,,,台北景點 美麗的農村體驗 看日出、海景、夜景、生態、寧靜。。葵扇湖休閒農場介紹。https://www.lakesunflower.com.tw/images/502.mp4。葵扇湖休閒農場介紹。Tesla來葵扇湖休閒農場拍片.台灣農業綠色旅遊.。我們坐落在陽明山國家公園半山腰，暑假晚間溫度24度C，海拔300公尺，俯瞰北海岸美景，看夜景、海景、日出、月亮海面東昇，生態豐富，體驗新北市農村好景。,,,1150901,1150930,(02)24986322,,208,65000,金山區,兩湖里2鄰葵扇湖18號之6,,,https://www.lakesunflower.com.tw/,121.590049,25.229362,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25051/480x360_agrispots-image-iqrqir64_k-cto6-8tzodq.jpg
路易十四莊園休閒農場,,,路易十四莊園休閒農場-台東池上有機農業促進區全台最大有機農場百年前，這裡只是河水沖積的原野；百年後，這裡成了茶香盈盈的樂土。在台灣東部山海交會之地， 池上不只有稻浪與清風，還藏著一片沈睡百年的純淨河床地。那裡曾是溪水奔騰、石礫遍布之地，幾乎沒有人相信它能種茶。但創辦人不信命，只信雙手與時間。他用愚公移山的精神，一點一滴搬走石塊、整平土地，終於，這片荒地化身為有機茶園，讓茶樹在陽光、清風與純淨水源中自在生長。東方風味路易十四精品茶嚴選這份來自台灣土地的珍貴，將池上的自然淬錬， 以法式皇室的精神重新...,,,1150901,1150930,(09),,958,10014,池上鄉,新興村東欣路268巷1號,,,,0,0,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/33998/480x360_091c7238d8c74a6a832d599bee08333b.png
康田休閒農場,,,,,,1150901,1150930,,,335,68000,大溪區,瑞源里落羽松路100號,,,,121.256832,24.870738,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
文良休閒農場,,,文良休閒農場位於基隆市七堵區瑪陵休閒農業區瑪東里的北端，以往62快速道路大埔交流道尚未通車前，對外出入都需走大同路，得花上好長一段時間才能到達七堵區公所，交通上相當不便。。自從62快速道路大埔交流道通車後，從國道3號下瑪東系統交流道連接至此，不僅省下好長一段繞路的時間，也讓附近居民感受到交通帶來的便利。隨著交通大大改善，瑪東里、瑪陵坑附近的居民，紛紛將自己的農園改設為具備休閒性質的農場，文良休閒農場便是近期成立的合法休閒農場。。文良休閒農場內種植不少桂竹與綠竹，每年5月份桂竹筍開始成熟採收，...,,,1150901,1150930,(02)24310892,,206,10017,七堵區,大同街60之1號,,,,121.681137,25.139923,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25267/480x360_agrispots-image-4t281j483kmedfhlci_mpw.jpg
山上種樹牛樟森林休閒農場,,,山上種樹牛樟森林休閒農場，前人種樹，後人乘涼。二十年前種下的樹苗，如今已長成一座森林。「農村需要年輕人，年輕人更需要農村」。過去的十年裡，一家人都在兩岸三地奔波打拼，剩父親留守耕耘，但「身在異鄉，心在故鄉」，心中惦記的總是家鄉的那塊土地，藍凱瀚、張書榕終於回到故鄉大湖扎根，專業培植牛樟樹、牛樟杄插苗、牛樟種苗、牛樟種子、牛樟芝、牛樟查、茶樹實生苗。。愛這塊土地就是要身體力行，十多年來不使用除草劑，堅持用友善的種植方式對待家鄉土地，園區是一個永續經營的自然生態觀念，有老鷹、有野兔、有樹蛙，還有許...,,,1150901,1150930,(037)997262,,364,10005,大湖鄉,義合村南昌路41號,,,https://grow-tree.com/,120.878513,24.397270,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/743/480x360_c109bd15f281472eb590e664bf75a18a.jpg
中崙漁業休閒農場,,,中崙漁業休閒農場。中崙漁業休閒農場經營以休閒魚釣(註1)為主，並提供現釣現料理與自種青菜簡單料理服務。全場採用透過管線引進海水之半鹹水養殖，所飼養之台灣鯛與黑公(吳郭魚)，並沒有一般淡水魚慣有的泥臭味道，吃過的人莫不讚不絕口。。本場主人多次獲得宜蘭縣政府與中華民國養殖漁業發展協會所頒之【優秀養殖漁民】【模範漁民】與【漁民楷模】等殊榮。並於2008年12月時獲得FSII所頒之【符合FSII農產品產銷履歷驗證規範】。。本場乾淨舒適廣闊的釣魚環境，可容納團體組織(釣魚協會/社團)預約舉辨大型釣漁...,,,1150901,1150930,(03)9875317,,261,10002,頭城鎮,三和路643巷46號,,,,121.803854,24.827930,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/128/480x360_20160318163603.jpg
泉園休閒農場,,,簡介。農場位於蘆竹區之大古山地區，以花、果及生態體驗園區為主軸，提供自然生態及農業文化體驗，讓遊客到訪時能感受到濃厚的田園生活。農場規劃農村生活體驗區、生態魚池體驗區、有機蔬果體驗區、拈花惹草體驗區、蘆竹及百合復育區等主題活動，農場休閒體驗內容豐富，休閒農業風采獨特，歡迎大家來玩！。是桃園市唯一有山又有海的地方，位於桃園崖線的未瑞，可以俯瞰桃園國際機場及台灣海峽，俱備生物多樣化，泉水源源不絶，濕地豐富，崖線視野廣濶。【如欲安排前往建議事先電話聯繫確認】。遊程/體驗介紹 。1.生態導覽+...,,,1150901,1150930,(09),,338,68000,蘆竹區,坑口里小古山路183號,,,,121.284728,25.108567,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/681/480x360_20200324-25.jpg
好農村休閒農場,,,好農村觀光農園位於大湖鄉，ㄧ個盛產草莓的地方，好農村農園不單單只有草莓而已，還有很多讓人一飽口福的水果，如仙人果、李子、水蜜桃、甜桃、高接梨、椪柑、海梨等，都是這裡所種植的水果。如此的多樣化，讓好農村幾乎一年四季都有不同的水果產出，也讓消費者不論何時何地蒞臨好農村，都一樣能享受到摘採水果的樂趣喔！。經營二十幾年的好農村，老闆賴先生一直秉持著用心培育的原則，才會年年出產甜美又多汁的水果，老闆說這裡風景優美，水果豐碩，適合親子同遊、讓人流連忘返呢。。而不同於其他農園，這裡有教導遊客自行DIY醃漬...,,,1150901,1150930,(09),,364,10005,大湖鄉,栗林村薑麻園10號,,,,120.829257,24.386302,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/166/480x360_20151119151648.jpg
七口灶休閒農場,,,七口灶休閒農場。『七口灶休閒農場』是中部地區南投的合法休閒農場，是經過農委會准予籌設的合法休閒農場，園區經過細心的整理，以休閒農業區的主題經營概念提供南投露營烤肉的絕佳地點選擇。在南投休閒農場中，七口灶是適合團體機關露營烤肉的休閒農場，歡迎機關，團體來舉辦健康親近大自然的烤肉露營與團康活動，相信七口灶是您國內旅遊烤肉露營的最佳選擇。。全區早、晚各有不同的風貌，離草屯市區僅10多分鐘車程，卻全無市區的吵雜喧擾，園區內寬廣的大草皮，看了讓人心曠神怡，甚至會有想在草地上打滾的衝動，到了晚上，園區內...,,,1150901,1150930,(09),,542,10008,草屯鎮,坪頂里股坑巷13之88號,,,,120.733416,23.955249,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25160/480x360_agrispots-image-9mjy0ukb7k2wd25p8k-g6a.jpg
石門客棧休閒農場,,,「石門客棧」位於海拔四百公尺的山上，翠綠的山頭上雲霧層層疊繞、空氣清新，在露台座位區用餐心情舒爽。從露台往下瞭望，一大片都是水梨、楊梅、柑桔果園，每年6月到9月盛產 高接梨，水分飽滿、滋味甘甜。。若水果採收不完，老闆便動動腦筋將水果入菜、草 莓和水梨等季節性的餐點，漸漸成了店裡的招牌料理。冬天有「炸草莓」、「草莓火鍋」，夏天則以高接梨設計出創意田園 料理「和風水梨雞肉捲」、「水梨燉湯」、「水梨魚」等，讓人可以品嚐到當季水果的清甜，更可吃到他們的創意。此外，除提供客人舒適用餐、歇腳的環境，石門客...,,,1150901,1150930,(037)951129,(037)951272,364,10005,大湖鄉,栗林村竹橋20號,,,,120.844888,24.363310,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25684/480x360_agrispots-image-7xfzy6afruytpg9rb3jpwq.jpg
陽明休閒農場,,,陽明休閒農場位於新北市金山區，依山傍海，擁有得天獨厚的自然景觀與純淨環境，是一處結合花卉栽培、休閒體驗與自然教育的休閒農場。。農場以花卉種植為主要經營項目，依循季節栽培多樣花種，園區四季呈現不同風貌。透過細緻的栽培管理與友善環境的耕作方式，讓花卉在自然條件下健康生長，也讓來訪的旅客能近距離欣賞花田景致，感受農業與自然共生的美好。。為了讓遊客更深入了解花卉產業，陽明休閒農場規劃花卉導覽、農事體驗及適合親子參與的活動，讓民眾在輕鬆的氛圍中認識花卉生態、栽培知識與農村文化，達到寓教於樂的目的。。...,,,1150901,1150930,(03)3391899,(03)3026085,208,65000,金山區,重和里13鄰磺溪頭16之2號,,,,0,0,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/40297/480x360_f16a9073334d44c2b8b1d5f0e53bd768.jpg
東風有機休閒農場(東風綠活 Oriental Green),,,簡介。東風位於宜蘭縣中山休閒農業區之內，環境清幽，四周群山環繞，保留了宜蘭最自然的風情，農場就在冬山河源頭，中山瀑布下，綠野自然，生態景觀極美。本農場以結合自然生態、農業生產、休閒生活為經營理念，促進休閒農業與自然保育的永續和諧發展。並以發展為國內「友善環境設施」與「棲地保育」的最佳教育示範點為目標願景。。東風花了8年，將原本像荒地的溪埔地、山坡果園，改造成現今的有機休閒農場。為了讓土壤恢復健康，以自然農法種植，停用農藥與化學肥料，經歷了十多年的自然淘汰過程，果園裡的柚子樹變少了，但存活下來...,,,1150901,1150930,(03)9587511,(03)9588564,269,10002,冬山鄉,中山村中山路769號,,,https://orientalgreenofficial.com/,121.730440,24.618304,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/124/480x360_20151120175237.jpg
石門森林休閒農場,,,農場有美麗的田園鄉野景觀，提供多元生態導覽解說、食用香草等農產品栽種及地方產業農產品展售，亦有紀念性伴手禮品、DIY體驗活動等。。【如欲安排前往建議事先電話聯繫確認】,,,1150901,1150930,(02)26557799911,,335,68000,大溪區,三層段阿姆坪小段,,,,121.309036,24.816451,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/951/480x360_20200325-20(2).jpg
貝林古堡休閒農場,,,隱身於彰化埤頭的「貝林古堡．菲尼克斯教堂」，是一處揉合異國浪漫與甜點香氣的夢幻莊園。這裡不僅以「全台最強」的酥脆葡式蛋塔擄獲饕客的心，園內宏偉的歐式古堡與精緻的鏤空雕花教堂，更讓人彷彿瞬間置身歐洲小鎮，是尋覓優雅下午茶與絕美攝影場景的絕佳去處。,,,1150901,1150930,,,523,10007,埤頭鄉,斗苑東路1之68號,,,,120.501051,23.878225,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
比來特區生態休閒農場,,,,,,1150901,1150930,(03)5964617,,311,10004,五峰鄉,花園村比來69-18號,,,,121.125165,24.681084,,https://ezgo.ardswc.gov.tw/_api/content/images/notfound/miss.jpg
二崎生態休閒農場,,,二崎生態休閒農場。農場位於大屯山簏動植物生態豐富，1至3月份多種櫻花陸續綻放，4至5月份採收桂竹筍及楊梅，6月份蕃茄及瓜類開始結果，7至9月份挖竹筍體驗，11月至隔年3月份為葉菜類產季，來農場體驗各個季節的農家工作與節慶米麵食，品嘗天然健康的食蔬，把健康歡樂帶回家。。【如欲安排前往建議事先電話聯繫確認】,,,1150901,1150930,(02)28917787,,112,63000,北投區,大屯里復興三路355巷39號,,,,121.498798,25.154717,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/85/480x360_20151117181142.jpg
巧克力雲莊休閒農場,,,巧克力雲莊 (SCHOKOLAKE) 是台灣唯一整合自可可產地契作、研發生產到通路銷售的巧克力專業工廠，提供各式美味高品質的巧克力、甜點與蛋糕，生巧克力更是長年的熱銷商品，可依據喜好選擇口味，結合了德文的巧克力 (SCHOKOLADE) 與巧克力雲莊的故鄉 - 大湖 (LAKE)一來註記雲主人當時在德國出差時，立下志願要做「台灣經典巧克力」的夢想，二來希望巧克力雲莊繫著大湖的根，利用在地食材製作各式各樣美味的產品。。巧克力DIY。無論是大人小孩都能全心認真投入，自己DIY製作屬於自己獨一無二...,,,1150901,1150930,(037)996916,,364,10005,大湖鄉,富興村水尾坪49-2號,,,,120.877111,24.448558,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/29871/480x360_agrispots-image-6kg3yy0bdusyssoe-vht5w.jpg
鳳梨屋休閒農場,,,鳳梨屋從養殖開始，利用雪山山脈山泉水的水質孕育出新鮮可口的鱘龍魚及凍齡鱸魚。。(鱸魚養殖示意)。(鱸魚養殖示意)。遊覽景點。風梨屋佔地面積寬廣， 有全長一公里的落雨松大道， 園區內有大大小小流水瀑布以及精彩的拍照景點，擁有豐富的水資源及自然生態， 晚上可以倘洋在浪漫星空的懷抱裡， 享受蟲鳴鳥叫。(落雨松大道示意圖)。(豐富水資源及豐富生態示意圖) 。體驗活動。露營之客人可於園區停留至少2天1夜行程，享受徜徉於大自然的環境中，充分休息之餘，可透過園區內豐富的生態導覽解說以寓教於樂的親...,,,1150901,1150930,(09),(03)9231028,264,10002,員山鄉,中華村15鄰長嶺路195號,,,https://lin.ee/G7Z8W6T,121.608213,24.701593,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/7043/480x360_555.png
耕堡休閒農場(停業中),,,農場介紹。耕堡休閒農場位於宜蘭縣三星鄉員山村長埤湖風景區旁，亦是清水溪河系沖積的小平原基地。是這幾年新興的宜蘭祕境，未來農場的入口處已規劃新的清水地熱公車轉運站，交通更加便利，是個不可不來的好所在。。農場創辦精神指標人 陳坤 陳老闆是在地土生土長的三星人，對這片土地有著濃濃的感情和付出，基於信仰大自然資源的經濟理念，以設立綠色資源樹下休閒經濟為前提，把荒野變奇蹟。。農場提供您一個友善的農業環境，在這裡您可以享受體驗活動，購買有機新鮮蔬果以及農特產品。歡迎預約來走訪看看!。農場套裝體驗 ...,,,1150901,1150930,(09),,266,10002,三星鄉,三星路八段238巷長埤68號,,,,121.607980,24.642388,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/744/480x360_73358300_528830817662692_4339151561604202496_n(1).jpg
侑橘休閒農場,,,侑橘休閒農場。侑橘休閒農園坐落於苗栗縣三灣鄉&rdquo；永和山水庫&rdquo；湖畔，佔地約2甲，境內有永和山水庫進水導水口，俯瞰水庫全景，群山環繞，山水相映的風光，景緻不凡。「侑橘」顧名思義，主要以栽種柑橘類水果為名，以開放觀光採果為其主要特色，採有機栽培方式栽種各種蔬果，計有葡萄柚、文旦柚、茂谷柑等數十種水果，尤以「茂谷柑」及「文旦柚」品質最優，味美多汁，香甜可口，得獎無數，並獲&rdquo；吉園圃生鮮蔬果&rdquo；認證，園內亦種植香椿等數種山產健康蔬菜可四季嚐鮮；同時提供合法民宿、...,,,1150901,1150930,(037)832779,,352,10005,三灣鄉,永和村8鄰北坑12-1號,,,,120.935569,24.649474,,https://ezgo.ardswc.gov.tw/_api/content/images/agrispots/25464/480x360_agrispots-image-kfy6us0rkk6w_n5fmgy9bq.jpg
